,Title,Most_Pronouns,Introduction,Stableness_Cases,Birth,Death
762,Lawrence Wetherby,Male,"Lawrence Winchester Wetherby (January 2, 1908 – March 27, 1994) was an American politician who served as Lieutenant Governor and Governor of Kentucky. He is the only governor in state history born in Jefferson County, despite the fact that Louisville (that county's seat) is the state's most populous city.",Success,1908,1994
763,Roy Welensky,Male,"Sir Roland ""Roy"" Welensky, KCMG (né Raphael Welensky; 20 January 1907 – 5 December 1991) was a Northern Rhodesian politician and the second and last Prime Minister of the Federation of Rhodesia and Nyasaland.",Success,1907,1991
764,Thomas White (Australian politician),Male,"Sir Thomas Walter White, KBE, DFC, VD (26 April 1888 – 13 October 1957) was an Australian politician and First World War pilot. In 1914 he became one of the first airmen trained for the Australian Flying Corps (AFC), and the following year was among the first AFC members to see action when he was deployed to the Middle East with the Mesopotamian Half Flight. After carrying out several missions behind Turkish lines, he was captured in November 1915 but escaped in July 1918. White was awarded the Distinguished Flying Cross and twice mentioned in despatches for his war service. He married Vera Deakin, a Red Cross worker and daughter of former Australian Prime Minister Alfred Deakin, in 1920.",Success,1888,1957
765,Gough Whitlam,Male,"Edward Gough Whitlam AC QC (/ˈɡɒf ˈwɪtləm/; 11 July 1916 – 21 October 2014) was the 21st Prime Minister of Australia, serving from 1972 to 1975. The Leader of the Labor Party from 1967 to 1977, Whitlam led his party to power for the first time in 23 years at the 1972 election. He won the 1974 election before being controversially dismissed by the Governor-General of Australia, Sir John Kerr, at the climax of the 1975 Australian constitutional crisis. Whitlam remains the only Australian prime minister to have his commission terminated in that manner.",Success,1916,2014
766,William Wilberforce,Male,"William Wilberforce (24 August 1759 – 29 July 1833)[1] was a British politician, philanthropist, and a leader of the movement to abolish the slave trade.  A native of Kingston upon Hull, Yorkshire, he began his political career in 1780, eventually becoming an independent Member of Parliament (MP) for Yorkshire (1784–1812). In 1785, he became an evangelical Christian, which resulted in major changes to his lifestyle and a lifelong concern for reform.",Success,1759,1833
767,Ellen Wilkinson,Female,"Ellen Cicely Wilkinson (8 October 1891 – 6 February 1947) was a British Labour Party politician who served as Minister of Education from July 1945 until her death. Earlier in her career, as the Member of Parliament (MP) for Jarrow, she became a national figure when she played a prominent role in the 1936 Jarrow March of the town's unemployed to London to petition for the right to work. Although unsuccessful at that time, the March provided an iconic image for the 1930s and helped to form post-Second World War attitudes to unemployment and social justice.",Success,None,None
768,Wendell Willkie,Male,"Wendell Lewis Willkie (born Lewis Wendell Willkie; February 18, 1892 – October 8, 1944) was an American lawyer, corporate executive and the 1940 Republican nominee for President. Willkie appealed to many convention delegates as the Republican field's only interventionist: although the U.S. remained neutral prior to Pearl Harbor, he favored greater U.S. involvement in World War II to support Britain and other Allies. His Democratic opponent, incumbent President Franklin D. Roosevelt, won the 1940 election with about 55% of the popular vote and took the electoral college vote by a wide margin.",Success,1892,1944
769,Ælfheah of Canterbury,Male,"Ælfheah[a][b] (c. 953 – 19 April 1012) was an Anglo-Saxon Bishop of Winchester, later Archbishop of Canterbury.  He became an anchorite before being elected abbot of Bath Abbey. His reputation for piety and sanctity led to his promotion to the episcopate, and eventually, to his becoming archbishop. Ælfheah furthered the cult of Dunstan and also encouraged learning.  He was captured by Viking raiders in 1011 during the Siege of Canterbury and killed by them the following year after refusing to allow himself to be ransomed.  Ælfheah was canonised as a saint in 1078.  Thomas Becket, a later Archbishop of Canterbury, prayed to him just before his own murder in Canterbury Cathedral.",Success,1012,1012
770,Alexander of Lincoln,Male,"Alexander of Lincoln (died February 1148) was a medieval English Bishop of Lincoln, a member of an important administrative and ecclesiastical family. He was the nephew of Roger of Salisbury, a Bishop of Salisbury and Chancellor of England under King Henry I, and he was also related to Nigel, Bishop of Ely. Educated at Laon, Alexander served in his uncle's diocese as an archdeacon in the early 1120s. Unlike his relatives, he held no office in the government before his appointment as Bishop of Lincoln in 1123. Alexander became a frequent visitor to King Henry's court after his appointment to the episcopate, often witnessing royal documents, and he served as a royal justice in Lincolnshire.",Success,None,None
771,Augustine of Canterbury,Male,"Augustine of Canterbury (born first third of the 6th century – died probably 26 May 604) was a Benedictine monk who became the first Archbishop of Canterbury in the year 597. He is considered the ""Apostle to the English"" and a founder of the English Church.[3]",Success,None,None
772,Baldwin of Forde,Male,"Baldwin of Forde or Ford[1] (c. 1125 – 19 November 1190) was Archbishop of Canterbury between 1185 and 1190. The son of a clergyman, he studied canon law and theology at Bologna and was tutor to Pope Eugene III's nephew before returning to England to serve successive bishops of Exeter. After becoming a Cistercian monk he was named abbot of his monastery at Forde and subsequently elected to the episcopate at Worcester.  Before becoming a bishop, he wrote theological works and sermons, some of which have survived.",Success,1125,None
773,William M. Branham,Male,"William Marrion Branham (April 6, 1909 – December 24, 1965) was an American Christian minister and faith healer who initiated the post–World War II healing revival. He left a lasting impact on televangelism and the modern Charismatic movement and is recognized as the ""principal architect of restorationist thought"" for Charismatics by some Christian historians.[1][2] At the time they were held, his inter-denominational meetings were the largest religious meetings ever held in some American cities. Branham was the first American deliverance minister to successfully campaign in Europe; his ministry reached global audiences with major campaigns held in North America, Europe, Africa, and India.",Success,1909,1965
